,author_id,author_id_new,conv_id_new,conversation_id,created_at,entities.mentions,id,id_new,public_metrics.like_count,public_metrics.quote_count,public_metrics.reply_count,public_metrics.retweet_count,referenced_tweets,text,users.created_at,users.description,users.id,users.name,users.public_metrics.followers_count,users.public_metrics.following_count,users.public_metrics.listed_count,users.public_metrics.tweet_count,users.username,users.verified
0,17487476,author_id17487476,conv_id: 1474679428353601536,1474679428353601536,2021-12-25T09:52:28.000Z,"[{'start': 3, 'end': 13, 'username': 'vpecresse', 'id': '49969223'}]",1474679428353601536,id: 1474679428353601536,0,0,0,341,"[{'type': 'retweeted', 'id': '1474677699297918976'}]","RT @vpecresse: En ce matin de Noël, je me suis rendue auprès des militaires de l’Opération #Sentinelle pour leur témoigner toute ma reconna…",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
1,17487476,author_id17487476,conv_id: 1474300840819281929,1474300840819281929,2021-12-24T08:48:06.000Z,,1474300840819281929,id: 1474300840819281929,470,17,107,112,,Un an après ! Le Brexit reste perdant-perdant ! Je me souviens d’une formidable équipe de négociation et de notre travail pour l’unité des 27. Le projet européen mérite d’être défendu et réformé avec la même unité et la même énergie. Bonne fête de Noël et bonne lecture aussi ;-) https://t.co/7sY82fTW6E,2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
2,17487476,author_id17487476,conv_id: 1474298731801595907,1474298731801595907,2021-12-24T08:39:43.000Z,,1474298731801595907,id: 1474298731801595907,520,10,80,64,,"One year later, Brexit remains a lose-lose decision. 
Yet I remember a great negotiating team and our daily work for the unity of the 27. The European project deserves to be defended and reformed with the same unity and the same energy. Happy Christmas and happy reading too ;-) https://t.co/NxPKSKU9T0",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
3,17487476,author_id17487476,conv_id: 1473892379623108609,1473892379623108609,2021-12-23T05:45:01.000Z,"[{'start': 37, 'end': 47, 'username': 'vpecresse', 'id': '49969223'}]",1473892379623108609,id: 1473892379623108609,330,5,62,88,,"Retour d’Arménie, « Pays-frère », où @vpecresse a tenu à faire sa toute première visite internationale. Francophonie, solidarité avec les Chrétiens d’Orient, paix au Haut-Karabagh, sécurité régionale….les enjeux sont nombreux pour la France et l’Europe. https://t.co/HYEUrrtbzm",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
4,17487476,author_id17487476,conv_id: 1472911946206830592,1472911946206830592,2021-12-20T12:49:08.000Z,"[{'start': 3, 'end': 14, 'username': 'Macky_Sall', 'id': '197493438'}]",1472911946206830592,id: 1472911946206830592,0,0,0,152,"[{'type': 'retweeted', 'id': '1472902697665847298'}]","RT @Macky_Sall: En ce vingtième anniversaire de sa disparition, je salue la mémoire du Président Léopold Sédar Senghor. Intellectuel, un de…",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
5,17487476,author_id17487476,conv_id: 1472672405852237828,1472672405852237828,2021-12-19T20:57:17.000Z,,1472672407387357191,id: 1472672407387357191,4392,21,131,544,"[{'type': 'replied_to', 'id': '1472672405852237828'}]","... and a barebones trade and cooperation agreement in 2020. I think he always underestimated the unity of Europeans, our attachment to the single market and the mandate I had from EU’s leaders. [END]",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
6,17487476,author_id17487476,conv_id: 1472672405852237828,1472672405852237828,2021-12-19T20:57:17.000Z,,1472672405852237828,id: 1472672405852237828,5981,119,286,1337,,"With D. Frost’s resignation, a long page has been turned ! He never convinced me of any added value from Brexit, neither for the UK nor for us. 
I will, however, remember a clever minister, convinced of his idea of sovereignty, with whom we agreed the NI Protocol in 2019... [1/2]",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
7,17487476,author_id17487476,conv_id: 1472249289950834688,1472249289950834688,2021-12-18T16:55:58.000Z,"[{'start': 206, 'end': 220, 'username': 'EU_Commission', 'id': '157981564'}]",1472249289950834688,id: 1472249289950834688,329,13,38,99,,"Pour les pêcheurs, l’accord  Brexit, il y a un an, était et reste équilibré et clair. Nous attendons d’un pays responsable comme le Royaume-Uni qu’il respecte sa signature. Simplement. Nous attendons de la @EU_Commission qu’elle fasse respecter cet accord par tous les moyens.",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
8,17487476,author_id17487476,conv_id: 1472230006243872773,1472230006243872773,2021-12-18T15:39:20.000Z,"[{'start': 6, 'end': 20, 'username': 'quentinfillon', 'id': '492500030'}, {'start': 75, 'end': 85, 'username': 'EquipeFRA', 'id': '95402942'}]",1472230006243872773,id: 1472230006243872773,94,0,3,19,"[{'type': 'quoted', 'id': '1472216013185994759'}]",Bravo @quentinfillon ! La ténacité ..la volonté ..la montagne !  #biathlon @EquipeFRA #LeGrandBornand https://t.co/tEklZiVFSk,2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
9,17487476,author_id17487476,conv_id: 1471153865714241541,1471153865714241541,2021-12-15T16:23:08.000Z,"[{'start': 3, 'end': 13, 'username': 'vpecresse', 'id': '49969223'}]",1471153865714241541,id: 1471153865714241541,0,0,0,156,"[{'type': 'retweeted', 'id': '1471152811429801988'}]",RT @vpecresse: Je souhaite un grand plan sur 10 ans pour détruire les ghettos urbains et pour les remplacer par des quartiers à taille huma…,2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
0,17487476,author_id17487476,conv_id: 1470416454373847049,1470416454373847049,2021-12-13T15:32:56.000Z,"[{'start': 3, 'end': 14, 'username': 'paroles_la', 'id': '1177251038761553922'}]",1470416454373847049,id: 1470416454373847049,0,0,0,535,"[{'type': 'retweeted', 'id': '1470337792454676480'}]","RT @paroles_la: Tant de suppliciés...
Morts pour la liberté.
La liberté de dire n'importe quoi aussi sans rien risquer d'autre que la colèr…",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
1,17487476,author_id17487476,conv_id: 1470099979402416139,1470099979402416139,2021-12-12T18:35:23.000Z,,1470099982946648069,id: 1470099982946648069,87,1,3,24,"[{'type': 'replied_to', 'id': '1470099979402416139'}]","La Nouvelle-Calédonie qui réitère ainsi son choix de rester dans la communauté nationale est, à l’heure où l’Indo-Pacifique focalise les intérêts géopolitiques, un atout pour la France mais aussi pour l’Union européenne pour compter dans le monde de demain.",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
2,17487476,author_id17487476,conv_id: 1470099979402416139,1470099979402416139,2021-12-12T18:35:22.000Z,,1470099979402416139,id: 1470099979402416139,231,2,10,61,,"Malgré des circonstances particulières, le résultat du référendum en Nouvelle-Calédonie est une nouvelle démonstration de l’attachement de ce territoire à la France. Chacun sur le Caillou doit prendre ses responsabilités pour construire un avenir qui respecte cet ancrage. https://t.co/Zdw69fNpWM",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
3,17487476,author_id17487476,conv_id: 1469748073643622408,1469748073643622408,2021-12-11T19:17:02.000Z,"[{'start': 3, 'end': 13, 'username': 'vpecresse', 'id': '49969223'}]",1469748073643622408,id: 1469748073643622408,0,0,0,132,"[{'type': 'retweeted', 'id': '1469679193571135500'}]","RT @vpecresse: J’entends être dans cette campagne, comme à l’Elysée, celle qui protège le  peuple français, celle qui protège la France. #P…",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
4,17487476,author_id17487476,conv_id: 1469748020455555079,1469748020455555079,2021-12-11T19:16:49.000Z,"[{'start': 3, 'end': 13, 'username': 'vpecresse', 'id': '49969223'}]",1469748020455555079,id: 1469748020455555079,0,0,0,171,"[{'type': 'retweeted', 'id': '1469679596152971270'}]","RT @vpecresse: J’en fais le serment, à vous, comme à tous les Français, je donnerai tout : ma détermination, ma passion, le courage d’agir,…",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
5,17487476,author_id17487476,conv_id: 1469747798237143051,1469747798237143051,2021-12-11T19:15:56.000Z,"[{'start': 3, 'end': 13, 'username': 'vpecresse', 'id': '49969223'}]",1469747798237143051,id: 1469747798237143051,0,0,0,387,"[{'type': 'retweeted', 'id': '1469670837204787207'}]","RT @vpecresse: J’ai une bonne nouvelle. La Droite est de retour, une droite déterminée à faire de la France une nation gagnante, une nation…",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
6,17487476,author_id17487476,conv_id: 1469388531244142598,1469388531244142598,2021-12-10T19:28:20.000Z,"[{'start': 3, 'end': 13, 'username': 'vpecresse', 'id': '49969223'}]",1469388531244142598,id: 1469388531244142598,0,0,0,190,"[{'type': 'retweeted', 'id': '1469334088914026506'}]","RT @vpecresse: Amoureuse du Japon comme le Président Chirac, c’est une grande fierté d’être décorée de l’Ordre du Soleil Levant par l’Ambas…",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
7,17487476,author_id17487476,conv_id: 1468826605934067714,1468826605934067714,2021-12-09T06:15:26.000Z,"[{'start': 25, 'end': 41, 'username': 'SavoieMontBlanc', 'id': '138038152'}, {'start': 50, 'end': 60, 'username': 'vpecresse', 'id': '49969223'}, {'start': 205, 'end': 217, 'username': 'avecValerie', 'id': '2431005014'}]",1468826605934067714,id: 1468826605934067714,774,23,85,188,,"Bienvenue aujourd’hui en @SavoieMontBlanc , Chère @vpecresse et merci de venir ainsi dialoguer avec les savoyards… métiers de la montagne , défense de l’industrie, énergie solaire…Tradition et modernité ! @avecValerie https://t.co/sqNhPtol0E",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
8,17487476,author_id17487476,conv_id: 1468706272077877255,1468706272077877255,2021-12-08T22:17:17.000Z,"[{'start': 43, 'end': 54, 'username': 'OlafScholz', 'id': '38150247'}]",1468706272077877255,id: 1468706272077877255,113,4,7,19,,"Herzlichen Glückwunsch, Herr Bundeskanzler @OlafScholz!

Eine große Veränderung in Berlin, vor einer großen Veränderung in Frankreich….Die Zusammenarbeit zwischen unseren Ländern ist notwendiger denn je, aber auch immer weniger ausreichend. 

Ich wünsche Ihnen gutes Gelingen.",2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
9,17487476,author_id17487476,conv_id: 1468476718151348227,1468476718151348227,2021-12-08T07:05:07.000Z,"[{'start': 3, 'end': 17, 'username': 'philippejuvin', 'id': '11911322'}, {'start': 40, 'end': 50, 'username': 'vpecresse', 'id': '49969223'}, {'start': 54, 'end': 65, 'username': 'AgnesEvren', 'id': '528558611'}, {'start': 84, 'end': 100, 'username': 'HopLariboisiere', 'id': '1154298777152495616'}, {'start': 116, 'end': 129, 'username': 'MartinHirsch', 'id': '826080103830548482'}]",1468476718151348227,id: 1468476718151348227,0,0,0,127,"[{'type': 'retweeted', 'id': '1468332924948860930'}]",RT @philippejuvin: Avec notre candidate @vpecresse et @AgnesEvren nous avons visité @HopLariboisiere accueillis par @MartinHirsch et des so…,2008-11-19T15:08:51.000Z,Patriote et européen  @PatriotesetEuro,17487476,Michel Barnier,229912,2397,3086,4860,MichelBarnier,True
